DATE,NAME_0,N,SCORE
2022-02-10,Paraguay,7720,0.5820622924870468
2022-02-10,Peru,7434,0.5796639451170299
2022-02-10,Uruguay,8471,0.5875794157714554
2022-02-10,Venezuela,11027,0.6296170834315771
2022-02-11,Argentina,58850,0.575507526966865
2022-02-11,Bolivia,666,0.6366628633633633
2022-02-11,Brazil,273090,0.5479594853271815
2022-02-11,Chile,20799,0.6009178173950671
2022-02-11,Colombia,27551,0.5889975701063482
2022-02-11,Ecuador,4602,0.6136459993481095
2022-02-11,Paraguay,6080,0.5892105955592106
2022-02-11,Peru,7605,0.5835228775805391
2022-02-11,Uruguay,8716,0.5879750743460301
2022-02-11,Venezuela,10091,0.6324987734615003
2022-02-12,Argentina,52933,0.576860888727259
2022-02-12,Bolivia,614,0.6247083110749184
2022-02-12,Brazil,285139,0.5466252097257829
2022-02-12,Chile,19791,0.5967239142539538
2022-02-12,Colombia,26926,0.5951329289905668
2022-02-12,Ecuador,4473,0.6124908817348536
2022-02-12,Paraguay,5889,0.5895894482934285
2022-02-12,Peru,7320,0.6061551610655738
2022-02-12,Uruguay,9199,0.5920749908685727
2022-02-12,Venezuela,9888,0.6434882803398059
2022-02-13,Argentina,50157,0.5736709666247981
2022-02-13,Bolivia,617,0.6123003128038896
2022-02-13,Brazil,229280,0.5538820748735171
2022-02-13,Chile,19574,0.60102203954225
2022-02-13,Colombia,26483,0.5938165487293736
2022-02-13,Ecuador,4764,0.6241075961376994
2022-02-13,Paraguay,5281,0.5791928144290853
2022-02-13,Peru,7048,0.5956813433598184
2022-02-13,Uruguay,8639,0.6072666793610372
2022-02-13,Venezuela,9569,0.6480666342355523
2022-02-14,Argentina,59224,0.5839182178677563
2022-02-14,Bolivia,755,0.6502802940397352
2022-02-14,Brazil,298463,0.544931950157976
2022-02-14,Chile,19650,0.6181869175572519
2022-02-14,Colombia,28586,0.5967588749737633
2022-02-14,Ecuador,5468,0.6179855098756402
2022-02-14,Paraguay,6976,0.6037577610378441
2022-02-14,Peru,7213,0.6091446606127826
2022-02-14,Uruguay,9003,0.5948094154170832
2022-02-14,Venezuela,9393,0.662902143830512
2022-02-15,Argentina,57119,0.5741286049825802
2022-02-15,Bolivia,685,0.6189700452554745
2022-02-15,Brazil,382042,0.5272394080389068
2022-02-15,Chile,18821,0.6100249748684979
2022-02-15,Colombia,28796,0.5900383453257397
2022-02-15,Ecuador,4800,0.6084353914583333
2022-02-15,Paraguay,5852,0.5890418788448394
2022-02-15,Peru,7150,0.5949346110489512
2022-02-15,Uruguay,8354,0.586066971031841
2022-02-15,Venezuela,9046,0.6362222071633872
2022-02-16,Argentina,58049,0.5684999300246344
2022-02-16,Bolivia,617,0.6220012317666126
2022-02-16,Brazil,275650,0.539708533281335
2022-02-16,Chile,19334,0.6061871638564187
2022-02-16,Colombia,29509,0.5882802728320173
2022-02-16,Ecuador,5289,0.6060597746265834
2022-02-16,Paraguay,5981,0.5803863797023908
2022-02-16,Peru,6566,0.5935732579957357
2022-02-16,Uruguay,8948,0.5813510150871704
2022-02-16,Venezuela,10011,0.6323196171211668
2022-02-17,Argentina,59478,0.5670793960455967
2022-02-17,Bolivia,678,0.6296850840707966
2022-02-17,Brazil,247481,0.5439893762147396
2022-02-17,Chile,19789,0.598507270352216
2022-02-17,Colombia,29571,0.5928823133813533
2022-02-17,Ecuador,5087,0.6089129172400235
2022-02-17,Paraguay,7113,0.5754106316603402
2022-02-17,Peru,6608,0.5823096908292977
2022-02-17,Uruguay,8786,0.5837031642385614
2022-02-17,Venezuela,9997,0.6290775762728817
2022-02-18,Argentina,58874,0.5636996152461189
2022-02-18,Bolivia,670,0.6096649791044776
2022-02-18,Brazil,266528,0.5487281127798955
2022-02-18,Chile,20460,0.6032822236070381
2022-02-18,Colombia,29803,0.5911297990806295
2022-02-18,Ecuador,4904,0.612029939233279
2022-02-18,Paraguay,6024,0.579817294322709
2022-02-18,Peru,6959,0.5915452194280787
2022-02-18,Uruguay,8839,0.5825990885846815
2022-02-18,Venezuela,9986,0.6385499051672341
2022-02-19,Argentina,55311,0.5709042592974273
2022-02-19,Bolivia,808,0.577672426980198
2022-02-19,Brazil,243937,0.5524007486031229
2022-02-19,Chile,19150,0.6051426643864231
2022-02-19,Colombia,28038,0.5948291656680219
2022-02-19,Ecuador,5395,0.6236675909175162
2022-02-19,Paraguay,5694,0.5942073630136986
2022-02-19,Peru,6933,0.5924499224001155
2022-02-19,Uruguay,8216,0.5907967026533593
2022-02-19,Venezuela,9603,0.6304665678433824
2022-02-20,Argentina,56180,0.5707406176219295
2022-02-20,Bolivia,615,0.6020645235772356
2022-02-20,Brazil,291449,0.5436941688665942
2022-02-20,Chile,17736,0.6095867302661254
2022-02-20,Colombia,26764,0.5948157475340009
2022-02-20,Ecuador,5076,0.613223536249015
2022-02-20,Paraguay,6463,0.5842480671514776
2022-02-20,Peru,6676,0.603170958657879
2022-02-20,Uruguay,10315,0.5834083465826466
2022-02-20,Venezuela,9987,0.6430266208070492
2022-02-21,Argentina,62198,0.5629801969355928
2022-02-21,Bolivia,762,0.6008673503937008
2022-02-21,Brazil,304892,0.534576114250292
2022-02-21,Chile,19636,0.600166798991648
2022-02-21,Colombia,29952,0.5892245448050214
2022-02-21,Ecuador,5447,0.6266629194051772
2022-02-21,Paraguay,8412,0.5723975726343319
2022-02-21,Peru,6851,0.5918360452488688
2022-02-21,Uruguay,9766,0.5926916844153185
2022-02-21,Venezuela,10116,0.6201049391063661
2022-02-22,Argentina,61760,0.5725622731379534
2022-02-22,Bolivia,627,0.60920685645933
2022-02-22,Brazil,293017,0.547345193193569
2022-02-22,Chile,20130,0.5996734180327868
2022-02-22,Colombia,35133,0.5794167459084052
2022-02-22,Ecuador,5284,0.6108585187358062
2022-02-22,Paraguay,7510,0.5784790503328895
2022-02-22,Peru,6840,0.5860667957602338
2022-02-22,Uruguay,9414,0.5820283133630763
2022-02-22,Venezuela,10098,0.6342655020796197
2022-02-23,Argentina,61436,0.573152977179504
2022-02-23,Bolivia,807,0.6047647905824038
2022-02-23,Brazil,285480,0.5494186815643828
2022-02-23,Chile,20343,0.6012055505087744
2022-02-23,Colombia,33791,0.5809836850936639
2022-02-23,Ecuador,5322,0.6179173013904548
2022-02-23,Paraguay,7233,0.583210513618139
2022-02-23,Peru,7188,0.5931079382303841
2022-02-23,Uruguay,10932,0.5925002719538967
2022-02-23,Venezuela,10207,0.6238011323601451
2022-02-24,Argentina,68309,0.5591556687991334
2022-02-24,Bolivia,788,0.5820775317258883
2022-02-24,Brazil,280780,0.5302098145736875
2022-02-24,Chile,23547,0.5797033218669045
2022-02-24,Colombia,35722,0.5762030942556408
2022-02-24,Ecuador,6043,0.5887866327982789
2022-02-24,Paraguay,7944,0.5887608972809668
2022-02-24,Peru,7705,0.5669757791044777
2022-02-24,Uruguay,10837,0.5671412559749008
2022-02-24,Venezuela,12010,0.6000783089092423
2022-02-25,Argentina,59097,0.569667673452121
2022-02-25,Bolivia,788,0.6083412703045685
2022-02-25,Brazil,262343,0.5394945484499301
2022-02-25,Chile,19142,0.593829416832097
2022-02-25,Colombia,29985,0.578547776154744
2022-02-25,Ecuador,4923,0.6096479496242129
2022-02-25,Paraguay,7368,0.5826379364820845
2022-02-25,Peru,6808,0.57945671386604
2022-02-25,Uruguay,9054,0.5753839024740446
2022-02-25,Venezuela,10619,0.6214491418212638
2022-02-27,Argentina,16399,0.56471631306787
2022-02-27,Bolivia,143,0.5834692377622377
2022-02-27,Brazil,75935,0.5368939143609666
2022-02-27,Chile,6614,0.5937790878439674
2022-02-27,Colombia,8624,0.5894473505333951
2022-02-27,Ecuador,1247,0.595738606255012
2022-02-27,Paraguay,1924,0.587987512993763
2022-02-27,Peru,2768,0.5742155422687861
2022-02-27,Uruguay,4430,0.5512509151241535
2022-02-27,Venezuela,3050,0.6116704704918033
2022-02-28,Argentina,57531,0.5658841606438269
2022-02-28,Bolivia,583,0.6136484168096055
2022-02-28,Brazil,264925,0.5420892314202133
2022-02-28,Chile,18909,0.5970940461684912
2022-02-28,Colombia,29457,0.5876163208405472
2022-02-28,Ecuador,4783,0.6029427631193812
2022-02-28,Paraguay,6665,0.5646471488372093
2022-02-28,Peru,7242,0.5786165169842585
